user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
m34****70,1分,不佳,景色1,趣味1,性价比1,买的带讲解，没人打电话联系，特别差劲，应该退款。,IP属地:北京,,,,,天坛公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,携程不好，遇见问题不帮助客户解决问题,IP属地:北京,,,,,天坛公园差评
M69****9645,2分,一般,景色5,趣味5,性价比5,建议早点到，不然来晚了，很多可参观的殿都关门了。今天来的晚了，买的全票门票，就逛了祈年殿，其余的都关门了。看到闭馆时间是22点，其实并不全是。,IP属地:北京,,,,,天坛公园差评
匿名用户,1分,不佳,景色3,趣味2,性价比1,北京景点遇到最差的一次讲解了，导游跟赶集一样走得飞快，很多人根本跟不上，讲解语速也太快声音太轻！天坛不值得玩！,IP属地:北京,,,,,天坛公园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,不值得去玩,IP属地:北京,,,,,天坛公园差评
匿名用户,1分,不佳,景色5,趣味1,性价比1,实话实说，这个解说不守承诺，私自更改解说时间，匆匆忙忙赶过去，第一时间不是道歉，还百般辩解，玩的心情立即没了。出来玩就是为了开心，不是跟人吵架，算了。,IP属地:广东,,,,,天坛公园差评
不会游泳的耗儿鱼,2分,一般,景色4,趣味3,性价比1,大家以后就扫公众号二维码听自助讲解，人工讲解个人认为没必要,IP属地:四川,,,,,天坛公园差评
M52****983,1分,不佳,景色5,趣味3,性价比2,"导游跑的跟兔子一样快，导航耳麦超过25m蓝牙连不上，60元一位耳麦，临时还加了一个耳麦，第一次来北京。建议大家不要在携程买皇家园林导游。不停的找导游。人很多，除了蓝牙耳机，声音非常小，找不到人了。
第一来北京，这个体验感太差了",IP属地:北京,,,,,天坛公园差评
李木子888,2分,一般,景色2,趣味2,性价比2,人太多了，一个人在几十个人，挤死了,IP属地:北京,,,,,天坛公园差评
_WeCh****858629,1分,不佳,景色5,趣味1,性价比1,不满意，下次可不能选择有导游的还不如自己逛呢,IP属地:北京,,,,,天坛公园差评
M44****6864,1分,不佳,景色1,趣味1,性价比1,服务态度极差,IP属地:天津,,,,,天坛公园差评
M24****8391,1分,不佳,景色3,趣味2,性价比1,体验感比较差的一次讲解服务，导游吐字不清晰，中间穿插了一些小故事，但是对于天坛的讲解非常少。祈年殿就是远远看了一眼，没有近距离的讲解和观赏；去回音壁之前就收走了蓝牙耳机，带的游客还很多，说话一点听不清楚。另外回音壁和圜丘坛导游没有带进去。总之水分特别多的一次讲解服务，说是1.5小时的讲解，共计只讲了1个小时不到。,IP属地:北京,,,,,天坛公园差评
